timestamp,06/09/2021 10:33,,,,,,,,,,,,,,,,,
site-id,SPENF,,,,,,,,,,,,,,,,,
site-name,Spen Farm,,,,,,,,,,,,,,,,,
parameter-id,COSMOS_VWC_1DAY,PRECIPITATION_LEVEL2_TOTAL,Q_LEVEL2_MEAN,RH_LEVEL2_MEAN,TA_LEVEL2_MEAN,TA_LEVEL2_MIN,TA_LEVEL2_MAX,PA_LEVEL2_MEAN,RN_LEVEL2_TOTAL,WD_LEVEL2_MEAN,WS_LEVEL2_MEAN,PE_LEVEL2,TDT1_TSOIL_LEVEL2_MEAN,TDT1_VWC_LEVEL2_MEAN,TDT2_TSOIL_LEVEL2_MEAN,TDT2_VWC_LEVEL2_MEAN,SWE_CRNS_1DAY,ALBEDO_DAILY_MEAN
parameter-name,COSMOS sensor VWC,Total precipitation,Mean absolute humidity (1 day),Mean relative humidity (1 day),Mean air temperature (1 day),Min air temperature (1 day),Max air temperature (1 day),Mean atmospheric pressure (1 day),Total net radiation (1 day),Mean wind direction (1 day),Mean wind speed (1 day),Potential evaporation (1 day),Mean TDT 1 soil temperature (1 day),Mean TDT 1 soil VWC (1 day),Mean TDT 2 soil temperature (1 day),Mean TDT 2 soil VWC (1 day),Snow water equivalent (only given on snow days),Daily mean albedo value (swout/swin)
parameter-units,%,mm,gm-3,%,Deg Celsius,Deg Celsius,Deg Celsius,hPa,MJday-1,Deg Celsius,ms-1,mm,Deg Celsius,%,Deg Celsius,%,mm,Unitless
08/03/2017,36.3,4.4,6.7,77.2,9,6.2,12.2,1002,3.2,239.3,4.1,1.3,7.1,33,7.2,36.2,,0.145
09/03/2017,33.9,0,6,70.5,8.6,4.4,12.4,1011.9,4.8,259.3,4.1,1.8,6.9,31.3,7.1,32.1,,0.167
10/03/2017,32.9,0,7.3,87.7,7.8,3.7,11.2,1016.2,2.5,159.8,2.5,0.6,7,30.5,7.1,31.7,,0.145
11/03/2017,34,0.5,8.6,88.1,10.5,8.8,12,1009.7,2.3,150.4,2.4,0.4,8.9,30.1,9,31.5,,0.142
12/03/2017,36.6,0.6,8.3,85.7,10.5,6.3,13.5,1008.2,4.6,261.5,2.5,1.2,9.8,29.9,9.9,31.2,,0.137
13/03/2017,36.5,0,6.7,79.5,8.4,3.5,11.8,1020,2.7,258,3.1,1.2,7.6,29.9,7.7,31.1,,0.156
14/03/2017,34,0,7.1,70.4,11.2,8.8,14.4,1021.9,4.1,251.5,4.3,1.8,8.7,29.3,8.8,30.8,,0.161
15/03/2017,33.2,0,6.3,68.3,9.8,6.5,14.2,1024,5.5,242.8,2.2,1.7,8.9,28.6,9,30.3,,0.183
16/03/2017,32.2,0,6.6,79.6,8.1,4.5,11.8,1012.8,2,243.4,3.7,1.1,7.7,28.1,7.8,29.8,,0.171
17/03/2017,30.7,0.5,6.4,77.4,7.8,3.6,11.6,1003.5,2,242.2,5.9,1.3,6.7,27.6,6.8,29.4,,0.169
18/03/2017,29.4,0.3,8.4,81.7,11.4,10.1,12.6,998.7,3.4,270.2,4.9,1.2,9.4,27.2,9.5,29.1,,0.161
19/03/2017,30.2,0.4,8.4,78.9,12,9.5,14.2,995.3,5,245.8,5.5,1.6,10.4,26.9,10.5,28.6,,0.182
20/03/2017,32.2,4.9,6.7,78.3,8.5,3.9,10.8,992.5,3,231,4.6,1.5,8.8,26.7,8.6,28.5,,
21/03/2017,35.4,2.3,4.6,70.4,4.7,2.5,8.2,997,4.8,235.2,4.9,1.9,5.6,28.4,5.5,30.5,,0.139
22/03/2017,37,17.1,6.2,91.8,5,2.9,6.5,1000,1.5,111.7,2.8,0.6,5.5,33.2,5.6,36.5,,0.147
23/03/2017,36.5,0.9,6.2,85,6.3,1.9,10.8,1015.2,7.5,33.6,3.2,1.6,6.7,32,6.9,31.9,,0.137
24/03/2017,34.8,0,5.3,78.1,5.4,0.3,11.4,1026.8,7.7,50.5,2,1.7,6.6,30.2,6.9,30.8,,0.152
25/03/2017,30.2,0.1,4.6,66.2,6.6,-1.2,15.2,1026.1,7,332.7,0.9,1.7,7.4,29.6,7.6,30.6,,0.164
26/03/2017,33.1,0,5.1,69.6,6.7,0.8,13,1021.4,7.2,44.9,1.9,1.9,7.9,29,8.1,30.4,,0.178
27/03/2017,33.4,0,6.6,88.1,6.5,5,8.6,1017.5,2,78.7,1.5,0.6,8.1,28.4,8.3,30.1,,0.163
28/03/2017,33.9,1,7.3,88.8,7.9,5.4,12.5,1011.8,4,158.2,1.8,0.7,8.6,28,8.8,29.7,,0.171
29/03/2017,36.3,1.5,9.4,89.9,11.7,8.6,14.2,1010.3,3.9,177.1,2.7,0.8,9.9,27.7,10.1,29.7,,0.124
30/03/2017,35.3,0,9.3,73.1,14.9,12.6,18,1007.4,7,189.6,4,2.2,11.9,27.8,12,30.1,,0.134
31/03/2017,33.6,0,7.8,67.6,13.5,10.6,16.2,999.4,7.6,188.1,4.3,2.7,12.1,27.7,12.1,30,,0.171
01/04/2017,31.6,1.4,7.5,84.4,9.3,5.6,13.4,1001.6,6.3,219.8,2.7,1.7,10.7,27.4,10.8,29.9,,0.134
